StockCode,Description,Date,Units_Sold,Revenue,Unit_Price,Year,Month,Quarter,Week,Day,DayOfWeek,Demand_Lag_1,Demand_Lag_2,Rolling_Mean_2,Naive_Forecast
84997C,CHILDRENS CUTLERY POLKADOT BLUE,2011-09-04,12,53.94,5.1850000000000005,2011,9,3,35,4,6,52.0,12.0,44.0,27.0
22197,SMALL POPCORN HOLDER,2011-09-04,100,72.0,0.72,2011,9,3,35,4,6,856.0,0.0,420.5,493.0
23194,GYMKHANA TREASURE BOOK BOX,2011-09-04,11,31.740000000000002,3.8033333333333332,2011,9,3,35,4,6,0.0,4.0,55.0,10.0
23194,GYMKHANA TREASURE BOOK BOX,2011-09-11,12,27.0,2.25,2011,9,3,36,11,6,0.0,11.0,3.75,25.0
84997C,CHILDRENS CUTLERY POLKADOT BLUE,2011-09-11,10,41.5,4.15,2011,9,3,36,11,6,12.0,52.0,28.75,40.0
23194,GYMKHANNA TREASURE BOOK BOX,2011-09-11,8,18.0,2.25,2011,9,3,36,11,6,12.0,0.0,5.75,16.0
22197,POPCORN HOLDER,2011-09-11,516,446.92,1.0274603174603174,2011,9,3,36,11,6,100.0,856.0,445.5,1012.0
21928,JUMBO BAG SCANDINAVIAN BLUE PAISLEY,2011-09-11,126,311.28,2.3874999999999997,2011,9,3,36,11,6,185.0,345.0,270.5,226.0
84997C,CHILDRENS CUTLERY POLKADOT BLUE,2011-09-18,34,141.10000000000002,4.15,2011,9,3,37,18,6,10.0,12.0,21.5,40.0
84946,ANTIQUE SILVER T-LIGHT GLASS,2011-09-18,115,152.22,1.7037499999999999,2011,9,3,37,18,6,271.0,184.0,314.75,470.0
23194,GYMKHANA TREASURE BOOK BOX,2011-09-18,16,36.0,2.25,2011,9,3,37,18,6,8.0,12.0,7.75,55.0
22197,POPCORN HOLDER,2011-09-18,570,632.18,1.0473214285714285,2011,9,3,37,18,6,0.0,516.0,368.0,252.0
21928,JUMBO BAG SCANDINAVIAN BLUE PAISLEY,2011-09-18,202,456.76,2.45875,2011,9,3,37,18,6,126.0,185.0,236.0,373.0
21928,JUMBO BAG SCANDINAVIAN BLUE PAISLEY,2011-09-25,221,476.98,2.796111111111111,2011,9,3,38,25,6,202.0,126.0,214.5,133.0
84946,ANTIQUE SILVER T-LIGHT GLASS,2011-09-25,501,618.72,1.4918333333333333,2011,9,3,38,25,6,115.0,271.0,208.5,851.0
23194,GYMKHANA TREASURE BOOK BOX,2011-09-25,8,18.0,2.25,2011,9,3,38,25,6,16.0,8.0,9.0,24.0
84997C,CHILDRENS CUTLERY POLKADOT BLUE,2011-09-25,92,357.14,4.898000000000001,2011,9,3,38,25,6,34.0,10.0,27.0,76.0
23126,FELTCRAFT GIRL AMELIE KIT,2011-09-25,88,403.6,4.816666666666667,2011,9,3,38,25,6,14.0,21.0,19.25,8.0
22197,POPCORN HOLDER,2011-09-25,634,587.78,1.0619345238095237,2011,9,3,38,25,6,0.0,570.0,271.5,807.0
22197,SMALL POPCORN HOLDER,2011-09-25,48,40.8,0.85,2011,9,3,38,25,6,634.0,0.0,301.0,344.0
22383,LUNCH BAG SUKI DESIGN ,2011-09-25,274,494.97,2.403293650793651,2011,9,3,38,25,6,270.0,210.0,270.0,173.0
23194,GYMKHANA TREASURE BOOK BOX,2011-10-02,165,326.25,2.15,2011,10,4,39,2,6,8.0,16.0,11.0,24.0
