StockCode,Description,Total_Units_Sold,Total_Revenue,Average_Price,Active_Days,On_Hand_Units,On_Order_Units,Lead_Time_Days,Daily_Demand,Weekly_Demand,Safety_Stock,Reorder_Point,Forecast_8_Week_Demand,Risk_Status,Recommended_Action,Recommended_Order_Qty,Sales_At_Risk,Capital_Locked,Stockout_Score,Overstock_Score
10002,INFLATABLE POLITICAL GLOBE ,860,759.89,1.0526521739130434,46,122,52,9,18.695652173913043,130.8695652173913,26.173913043478265,194.43478260869563,0.0,Overstock,Markdown / Clear,0.0,0.0,128.4235652173913,0.0,122.0
10080,GROOVY CACTUS INFLATABLE,303,119.08999999999999,0.41190476190476194,21,455,186,5,14.428571428571429,101.0,20.200000000000003,92.34285714285714,0.0,Overstock,Markdown / Clear,0.0,0.0,187.41666666666669,0.0,455.0
10120,DOGGY RUBBER,192,40.32,0.21,24,368,77,20,8.0,56.0,11.200000000000001,171.2,10.0,Overstock,Markdown / Clear,0.0,0.0,75.17999999999999,0.02242152466367713,33.45454545454545
10123C,HEARTS WRAPPING TAPE ,5,3.25,0.65,3,290,40,13,1.6666666666666667,11.666666666666668,2.3333333333333335,24.0,0.0,Overstock,Markdown / Clear,0.0,0.0,188.5,0.0,290.0
10124A,SPOTS ON RED BOOKCOVER TAPE,16,6.72,0.42000000000000004,5,126,195,9,3.2,22.400000000000002,4.48,33.28,0.0,Overstock,Markdown / Clear,0.0,0.0,52.92,0.0,126.0
10124G,ARMY CAMO BOOKCOVER TAPE,17,7.14,0.42,4,91,67,11,4.25,29.75,5.95,52.7,0.0,Overstock,Markdown / Clear,0.0,0.0,38.22,0.0,91.0
10125,MINI FUNKY DESIGN TAPES,1295,993.99,0.8953174603174603,63,208,7,3,20.555555555555557,143.8888888888889,28.777777777777786,90.44444444444446,13.0,Overstock,Markdown / Clear,0.0,0.0,174.58690476190475,0.06018518518518518,14.857142857142858
10133,COLOURING PENCILS BROWN TUBE,2856,1539.6,0.6815158008658009,110,40,1,16,25.963636363636365,181.74545454545455,36.34909090909091,451.76727272727277,0.0,Overstock,Markdown / Clear,0.0,0.0,27.260632034632035,0.0,40.0
10135,COLOURING PENCILS BROWN TUBE,2229,2204.89,1.4783333333333333,119,122,104,8,18.73109243697479,131.11764705882354,26.22352941176471,176.07226890756303,50.0,Overstock,Markdown / Clear,0.0,0.0,106.44,0.22026431718061673,2.392156862745098
11001,ASSTD DESIGN RACING CAR PEN,1615,2389.44,1.9547752808988763,89,141,124,9,18.146067415730336,127.02247191011236,25.404494382022474,188.7191011235955,12.5,Overstock,Markdown / Clear,0.0,0.0,251.18862359550562,0.046992481203007516,10.444444444444445
15030,FAN BLACK FRAME ,143,41.47,0.29,12,486,109,12,11.916666666666666,83.41666666666666,16.683333333333334,159.68333333333334,0.0,Overstock,Markdown / Clear,0.0,0.0,140.94,0.0,486.0
15034,PAPER POCKET TRAVELING FAN ,6591,840.0200000000001,0.3634285714285714,105,234,85,9,62.77142857142857,439.4,87.88,652.8228571428572,9.0,Overstock,Markdown / Clear,0.0,0.0,81.77142857142856,0.028125,23.4
15036,ASSORTED COLOURS SILK FAN,23826,18569.84,1.0658158866995073,232,350,168,4,102.69827586206897,718.8879310344828,143.77758620689656,554.5706896551724,78.5,Overstock,Markdown / Clear,0.0,0.0,289.36901323891624,0.151252408477842,4.40251572327044
15039,SANDALWOOD FAN,2090,1978.6399999999999,1.2299523809523807,105,478,119,6,19.904761904761905,139.33333333333334,27.86666666666667,147.2952380952381,24.0,Overstock,Markdown / Clear,0.0,0.0,558.3983809523809,0.04013377926421405,19.12
15044A,PINK PAPER PARASOL ,458,1439.0200000000002,3.660894308943089,82,107,126,19,5.585365853658536,39.09756097560975,7.819512195121951,113.94146341463413,0.0,Overstock,Markdown / Clear,0.0,0.0,391.71569105691054,0.0,107.0
15044B,BLUE PAPER PARASOL ,321,946.83,3.513076923076923,52,392,182,3,6.173076923076923,43.21153846153847,8.642307692307694,27.161538461538463,0.0,Overstock,Markdown / Clear,0.0,0.0,1377.126153846154,0.0,392.0
15044C,PURPLE PAPER PARASOL,313,1022.99,3.815238095238095,70,119,15,12,4.4714285714285715,31.3,6.260000000000001,59.917142857142856,2.0,Overstock,Markdown / Clear,0.0,0.0,446.3828571428571,0.014814814814814815,39.666666666666664
15044D,RED PAPER PARASOL,644,1819.76,3.2581481481481482,72,379,61,17,8.944444444444445,62.611111111111114,12.522222222222224,164.57777777777778,2.0,Overstock,Markdown / Clear,0.0,0.0,1228.321851851852,0.0045351473922902496,126.33333333333333
15056BL,EDWARDIAN PARASOL BLACK,2844,15828.84,6.357122895622896,198,171,112,12,14.363636363636363,100.54545454545455,20.10909090909091,192.4727272727273,40.0,Overstock,Markdown / Clear,0.0,0.0,832.7830993265994,0.14084507042253522,4.170731707317073
15056N,EDWARDIAN PARASOL NATURAL,3950,22152.690000000002,6.93586005625879,237,150,175,14,16.666666666666668,116.66666666666667,23.333333333333336,256.6666666666667,49.5,Overstock,Markdown / Clear,0.0,0.0,697.0539356540085,0.15184049079754602,2.9702970297029703
15056P,EDWARDIAN PARASOL PINK,776,4354.92,6.302628205128205,117,169,157,18,6.632478632478633,46.42735042735043,9.285470085470086,128.67008547008547,11.5,Overstock,Markdown / Clear,0.0,0.0,992.6639423076923,0.035168195718654434,13.52
15056bl,EDWARDIAN PARASOL BLACK,87,1086.88,12.482608695652175,46,328,11,11,1.891304347826087,13.23913043478261,2.647826086956522,23.45217391304348,3.5,Overstock,Markdown / Clear,0.0,0.0,4050.6065217391306,0.010294117647058823,72.88888888888889
15056n,EDWARDIAN PARASOL NATURAL,127,1585.28,12.48,52,277,34,17,2.4423076923076925,17.096153846153847,3.4192307692307695,44.938461538461546,0.0,Overstock,Markdown / Clear,0.0,0.0,3456.96,0.0,277.0
15056p,EDWARDIAN PARASOL PINK,33,412.48,12.505217391304347,23,363,10,19,1.434782608695652,10.043478260869565,2.008695652173913,29.269565217391303,1.0,Overstock,Markdown / Clear,0.0,0.0,4526.888695652174,0.00267379679144385,181.5
15058A,BLUE POLKADOT GARDEN PARASOL,200,1668.49,9.273489583333333,64,433,63,16,3.125,21.875,4.375,54.375,0.0,Overstock,Markdown / Clear,0.0,0.0,4015.4209895833333,0.0,433.0
15058B,PINK POLKADOT GARDEN PARASOL,228,1885.27,9.974179104477612,67,313,49,20,3.4029850746268657,23.82089552238806,4.764179104477612,72.82388059701492,0.0,Overstock,Markdown / Clear,0.0,0.0,3121.9180597014924,0.0,313.0
15058C,ICE CREAM DESIGN GARDEN PARASOL,240,1429.82,9.691878787878787,55,405,148,4,4.363636363636363,30.545454545454543,6.109090909090909,23.563636363636363,0.0,Overstock,Markdown / Clear,0.0,0.0,3925.210909090909,0.0,405.0
15060B,FAIRY CAKE DESIGN UMBRELLA,451,1807.55,4.927619047619047,105,211,68,6,4.295238095238095,30.066666666666666,6.013333333333334,31.784761904761908,0.0,Overstock,Markdown / Clear,0.0,0.0,1039.727619047619,0.0,211.0
15060b,FAIRY CAKE DESIGN UMBRELLA,3,24.869999999999997,8.29,3,463,47,20,1.0,7.0,1.4000000000000001,21.4,0.0,Overstock,Markdown / Clear,0.0,0.0,3838.2699999999995,0.0,463.0
16008,SMALL FOLDING SCISSOR(POINTED EDGE),2892,360.71,0.1375438596491228,57,296,19,9,50.73684210526316,355.1578947368421,71.03157894736842,527.6631578947369,312.0,Stockout Risk,Reorder Now,87.0,42.91368421052631,0.0,0.9873417721518988,0.9456869009584664
16010,FOLDING CAMPING SCISSOR W/KNIF & S,30,3.5999999999999996,0.12,3,180,100,15,10.0,70.0,14.0,164.0,0.0,Overstock,Markdown / Clear,0.0,0.0,21.599999999999998,0.0,180.0
16011,ANIMAL STICKERS,1749,367.29,0.21,45,479,194,17,38.86666666666667,272.06666666666666,54.413333333333334,715.1466666666666,24.5,Overstock,Markdown / Clear,0.0,0.0,95.445,0.03635014836795252,18.784313725490197
16012,FOOD/DRINK SPONGE STICKERS,1220,256.2,0.21,30,333,171,3,40.666666666666664,284.66666666666663,56.93333333333333,178.93333333333334,12.5,Overstock,Markdown / Clear,0.0,0.0,67.30499999999999,0.024752475247524754,24.666666666666668
16014,SMALL CHINESE STYLE SCISSOR,13328,4335.76,0.4026530612244898,49,41,160,13,272.0,1904.0,380.8,3916.8,65.5,Stockout Risk,Reorder Now,405.0,26.37377551020408,0.0,0.32425742574257427,0.6165413533834586
16015,MEDIUM CHINESE STYLE SCISSOR,662,289.98,0.4908695652173913,23,272,188,12,28.782608695652176,201.47826086956522,40.29565217391305,385.68695652173915,0.0,Overstock,Markdown / Clear,0.0,0.0,133.51652173913044,0.0,272.0
16016,LARGE CHINESE STYLE SCISSOR,1273,1053.45,0.84675,60,255,136,7,21.216666666666665,148.51666666666665,29.703333333333333,178.21999999999997,60.0,Overstock,Markdown / Clear,0.0,0.0,165.11625,0.15306122448979592,4.180327868852459
16020C,CLEAR STATIONERY BOX SET ,84,69.89999999999999,0.8334615384615384,13,364,67,18,6.461538461538462,45.23076923076923,9.046153846153848,125.35384615384615,0.0,Overstock,Markdown / Clear,0.0,0.0,303.37999999999994,0.0,364.0
16033,MINI HIGHLIGHTER PENS,840,100.80000000000001,0.12,4,68,34,13,210.0,1470.0,294.0,3024.0,0.0,Stockout Risk,Reorder Now,226.0,0.0,0.0,0.0,68.0
16043,POP ART PUSH DOWN RUBBER ,98,11.759999999999998,0.12,2,494,64,8,49.0,343.0,68.60000000000001,460.6,0.0,Overstock,Markdown / Clear,0.0,0.0,59.28,0.0,494.0
16045,POPART WOODEN PENCILS ASST,8900,380.0,0.04428571428571428,56,78,7,11,158.92857142857142,1112.5,222.5,1970.7142857142856,0.0,Stockout Risk,Reorder Now,144.0,0.0,0.0,0.0,78.0
16046,TEATIME PEN CASE & PENS,65,55.24999999999999,0.8499999999999999,13,189,44,15,5.0,35.0,7.0,82.0,1.0,Overstock,Markdown / Clear,0.0,0.0,159.79999999999998,0.004273504273504274,94.5
16048,TEATIME ROUND PENCIL SHARPENER ,1460,205.29999999999998,0.33382716049382716,54,495,86,10,27.037037037037038,189.25925925925927,37.851851851851855,308.22222222222223,1.0,Overstock,Markdown / Clear,0.0,0.0,164.91061728395061,0.001718213058419244,247.5
16049,TEATIME GEL PENS ASST,504,82.08,0.27,4,207,174,16,126.0,882.0,176.4,2192.4,0.0,Overstock,Markdown / Clear,0.0,0.0,55.89,0.0,207.0
16052,TEATIME PUSH DOWN RUBBER,479,115.3,0.6033333333333333,12,483,167,3,39.916666666666664,279.41666666666663,55.883333333333326,175.63333333333333,0.0,Overstock,Markdown / Clear,0.0,0.0,291.40999999999997,0.0,483.0
16054,POPART RECT PENCIL SHARPENER ASST,1166,140.52,0.13034482758620689,29,290,75,19,40.206896551724135,281.44827586206895,56.289655172413795,820.2206896551724,0.0,Overstock,Markdown / Clear,0.0,0.0,37.8,0.0,290.0
16151A,FLOWERS HANDBAG blue and orange,49,61.25,1.25,3,209,181,7,16.333333333333332,114.33333333333333,22.866666666666667,137.2,0.0,Overstock,Markdown / Clear,0.0,0.0,261.25,0.0,209.0
16156L,WRAP CAROUSEL,375,157.5,0.42,13,465,75,4,28.846153846153847,201.92307692307693,40.38461538461539,155.76923076923077,0.0,Overstock,Markdown / Clear,0.0,0.0,195.29999999999998,0.0,465.0
16156L,"WRAP, CAROUSEL",100,42.0,0.42,4,194,173,11,25.0,175.0,35.0,310.0,0.0,Overstock,Markdown / Clear,0.0,0.0,81.48,0.0,194.0
16156S,WRAP PINK FAIRY CAKES ,5800,2331.0,0.4170731707317073,123,465,46,6,47.15447154471545,330.08130081300817,66.01626016260164,348.94308943089436,87.5,Overstock,Markdown / Clear,0.0,0.0,157.4451219512195,0.1708984375,5.254237288135593
16161G,WRAP BAD HAIR DAY,700,70.0,0.1,21,70,14,19,33.333333333333336,233.33333333333334,46.66666666666667,680.0,0.0,Overstock,Markdown / Clear,0.0,0.0,7.0,0.0,70.0
16161M,WRAP  PINK FLOCK,25,10.5,0.42,1,383,104,19,25.0,175.0,35.0,510.0,0.0,Overstock,Markdown / Clear,0.0,0.0,160.85999999999999,0.0,383.0
16161P,WRAP ENGLISH ROSE ,7201,2980.42,0.4197101449275363,161,74,146,20,44.72670807453416,313.0869565217391,62.61739130434783,957.151552795031,87.5,Healthy,No Action,76.0,0.0,0.0,0.39592760180995473,0.8361581920903954
